motif_contact,mode_contact,domaine,date_creation_affaire,delai_traitement,tranche_age,genre,annee_adhesion,situation_familiale,region_anterieure,region_nouvelle,gamme,libelle_gamme,offre,libelle_offre,formule,libelle_formule,t_centre3,fonctionevo,cible,vague,Recommandation,Premier contact MGEN ?,Votre interlocuteur vous a-t-il semblé tout mettre en œuvre pour répondre à votre demande?,réponse claire,réponse appropriée,réponse complète,Satisfaction globale
Demande d'informations et d'explications,Accueil physique,06- Santé/Actes médicaux courants,3/16/2016,0,65 ans et +,Féminin,1980,Marié(e),RHONE-ALPES,AUVERGNE-RHONE-ALPES,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201612,10,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Réclamations particuliers,Accueil physique,01- Gestion du dossier RO/Créances PF et franchises,3/10/2016,7,65 ans et +,Féminin,1968,Divorcé(e),POITOU-CHARENTES,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,Centres de Gestion,Spécialiste prestations services centre de gestion,Réclamation,201612,,,,Non pas du tout,Non pas du tout,Non pas du tout,Peu satisfait
Demande d'informations et d'explications,Accueil physique,15- Offres complémentaires/MGEN Complément Autonomie,3/14/2016,0,55-64 ans,Féminin,1997,Marié(e),ILE-DE-FRANCE,ILE-DE-FRANCE,2,MGEN Santé Prévoyance,5,MGEN Santé Prévoyance non Référencée,15,MGEN Référence,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201612,8,Oui,Oui tout à fait,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Demande d'informations et d'explications,Appel Entrant,06- Santé/Actes médicaux courants,3/3/2016,11,35-44 ans,Féminin,1996,Séparé(e),ILE-DE-FRANCE,ILE-DE-FRANCE,2,MGEN Santé Prévoyance,5,MGEN Santé Prévoyance non Référencée,12,MGEN Référence,,,Téléphone,201612,6,Non,Non plutôt pas,Non pas du tout,Non pas du tout,Non pas du tout,Peu satisfait
Demande d'informations et d'explications,Email entrant,06- Santé/Actes médicaux courants,3/14/2016,1,55-64 ans,Féminin,1974,Marié(e),PICARDIE,NORD-PAS-DE-CALAIS-PICARDIE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,,,Mail,201612,6,Non,,Oui tout à fait,Non plutôt pas,Non plutôt pas,Pas du tout satisfait
Réception de documents,Accueil physique,"08- Dentaire Optique Audioprothèses/Optique - Montures, verres",3/18/2016,0,65 ans et +,Féminin,1969,Marié(e),CHAMPAGNE-ARDENNE,ALSACE-CHAMPAGNE-ARDENNE-LORRAINE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201612,7,Oui,Oui plutôt,Oui tout à fait,Oui tout à fait,Oui tout à fait,Moyennement satisfait
Demande d'informations et d'explications,Email entrant,02- Gestion du dossier RC/Droits,3/14/2016,1,55-64 ans,Féminin,2004,Concubin(e),LANGUEDOC-ROUSSILLON,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,,,Mail,201612,9,Oui,,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Demande d'informations et d'explications,Appel Entrant,04- Cotisations/Recouvrement amiable,3/16/2016,0,55-64 ans,Féminin,1979,Marié(e),AQUITAINE,BRETAGNE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,Centres d'Appels,Technicien prestations services centre d'appels,Téléphone,201612,5,Non,Oui plutôt,Oui plutôt,Oui plutôt,Oui plutôt,Moyennement satisfait
Démission  volontaire,Courrier entrant,02- Gestion du dossier RC/Résiliation,3/16/2016,0,55-64 ans,Masculin,1981,Marié(e),,,1,Offre globale,2,Offre Globale non référencée,3,Offre globale,Centres de Gestion,Gestionnaire prestations services centre de gestion,Courrier,201612,1,Non,,Non pas du tout,Non pas du tout,Non pas du tout,Pas du tout satisfait
Réception de documents,Accueil physique,06- Santé/Actes médicaux courants,3/15/2016,0,55-64 ans,Féminin,1985,Marié(e),BOURGOGNE,BOURGOGNE-FRANCHE-COMTE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,Sections départementales,Spécialiste prestations services réseau,Accueil physique,201612,8,Oui,Oui plutôt,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Réception de documents,Courrier entrant,02- Gestion du dossier RC/Résiliation,3/18/2016,0,18-24 ans,Féminin,2008,Célibataire,BRETAGNE,BRETAGNE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,11,MGEN Référence,,,Courrier,201612,7,Non,,Oui plutôt,Non plutôt pas,Non plutôt pas,Peu satisfait
Demande de documents,Accueil physique,01- Gestion du dossier RO/Sesam Vitale,3/16/2016,0,55-64 ans,Féminin,1992,Marié(e),MIDI-PYRENEES,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,Sections départementales,Assistant prestations service réseau,Accueil physique,201612,8,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Plutôt satisfait
Réclamations particuliers,Appel entrant,06- Santé/Pharmacie,2/9/2016,37,35-44 ans,Masculin,2015,Concubin(e),ILE-DE-FRANCE,ILE-DE-FRANCE,2,MGEN Santé Prévoyance,5,MGEN Santé Prévoyance non Référencée,19,MGEN Intégrale,Centres de Gestion,Gestionnaire prestations services centre de gestion,Réclamation,201612,,,,,,,Pas du tout satisfait
Demande d'informations et d'explications,Email entrant,06- Santé/Actes médicaux courants,3/16/2016,2,35-44 ans,Féminin,1997,Célibataire,PAYS DE LA LOIRE,PAYS DE LA LOIRE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,,,Mail,201612,2,Non,,Non plutôt pas,Non plutôt pas,Non pas du tout,Pas du tout satisfait
Demande d'informations et d'explications,Accueil physique,04- Cotisations/Appel de cotisations,1/14/2016,60,35-44 ans,Féminin,2009,Célibataire,PAYS DE LA LOIRE,PAYS DE LA LOIRE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,Centres de Gestion,Spécialiste prestations services centre de gestion,Accueil physique,201612,1,Non,Oui plutôt,Non plutôt pas,Non plutôt pas,Non plutôt pas,Peu satisfait
Réclamations particuliers,Courrier Reçu,06- Santé/Actes médicaux courants,3/3/2016,12,18-24 ans,Féminin,1991,Célibataire,CENTRE,CENTRE-VAL DE LOIRE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,33,Offre jeunes,,,Réclamation,201612,,,,,,,Pas du tout satisfait
Demande d'informations et d'explications,Appel Entrant,13- Prévoyance/Orphelinat,3/15/2016,0,25-34 ans,Féminin,1977,Célibataire,ILE-DE-FRANCE,ILE-DE-FRANCE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,33,Offre jeunes,Sections départementales,Spécialiste prestations services réseau,Téléphone,201612,9,Oui,Oui plutôt,Oui tout à fait,Oui plutôt,Oui plutôt,Plutôt satisfait
Demande de documents,Appel Entrant,02- Gestion du dossier RC/Droits,3/14/2016,0,65 ans et +,Féminin,1958,Divorcé(e),PICARDIE,NORD-PAS-DE-CALAIS-PICARDIE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,,,Téléphone,201612,9,Non,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Moyennement satisfait
Réception de documents,Courrier entrant,10- Allocations et indemnités/Allocations journalières RC MGEN,3/16/2016,0,55-64 ans,Féminin,1979,Marié(e),PAYS DE LA LOIRE,PAYS DE LA LOIRE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,Sections départementales,Assistant prestations service réseau,Courrier,201612,3,Non,,Non plutôt pas,Non plutôt pas,Non plutôt pas,Peu satisfait
Réception de documents,Accueil physique,04- Cotisations/Calcul de la cotisation,3/17/2016,0,45-54 ans,Féminin,2001,Divorcé(e),PROVENCE-ALPES-COTE D'AZUR,PROVENCE-ALPES-COTE D'AZUR,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,Sections départementales,Assistant prestations service réseau,Accueil physique,201612,10,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Email entrant,"08- Dentaire Optique Audioprothèses/Optique - Montures, verres",3/15/2016,1,65 ans et +,Féminin,1971,Marié(e),AUVERGNE,AUVERGNE-RHONE-ALPES,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,,,Mail,201612,8,Non,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Réception de documents,Courrier entrant,06- Santé/Ostéopathie,3/17/2016,0,55-64 ans,Féminin,2004,Marié(e),,,1,Offre globale,1,Offre Globale référencée,3,Offre globale,Centres de Gestion,Gestionnaire prestations services centre de gestion,Courrier,201612,7,Oui,,Oui tout à fait,Non plutôt pas,Oui tout à fait,Plutôt satisfait
Réclamations particuliers urgentes,Siège - Courrier entrant,08- Dentaire Optique Audioprothèses/Dentaire - Orthodontie,3/11/2016,7,55-64 ans,Féminin,1983,Concubin(e),PROVENCE-ALPES-COTE D'AZUR,PROVENCE-ALPES-COTE D'AZUR,2,MGEN Santé Prévoyance,5,MGEN Santé Prévoyance non Référencée,15,MGEN Référence,,,Réclamation,201612,,,,Oui plutôt,Oui tout à fait,Oui plutôt,Moyennement satisfait
Réclamations particuliers,Appel entrant,13- Prévoyance/Décès,2/15/2016,30,65 ans et +,Féminin,1982,Marié(e),LORRAINE,NORD-PAS-DE-CALAIS-PICARDIE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,Sections départementales,Spécialiste prestations services réseau,Réclamation,201612,,,,,,,Pas du tout satisfait
Demande d'informations et d'explications,Appel Entrant,"08- Dentaire Optique Audioprothèses/Optique - Montures, verres",3/15/2016,0,45-54 ans,Féminin,1983,Marié(e),ILE-DE-FRANCE,ILE-DE-FRANCE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,Centres d'Appels,Téléconseiller,Téléphone,201612,8,Oui,Oui plutôt,Oui tout à fait,Oui tout à fait,Oui tout à fait,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,02- Gestion du dossier RC/Droits,3/11/2016,3,55-64 ans,Féminin,1993,Pacsé(e),PROVENCE-ALPES-COTE D'AZUR,PROVENCE-ALPES-COTE D'AZUR,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,,,Mail,201612,1,Non,,Oui plutôt,Non pas du tout,Non pas du tout,Pas du tout satisfait
Demande d'informations et d'explications,Email entrant,"08- Dentaire Optique Audioprothèses/Optique - Montures, verres",3/16/2016,1,35-44 ans,Féminin,2002,Pacsé(e),ILE-DE-FRANCE,ILE-DE-FRANCE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,,,Mail,201612,6,Non,,Oui tout à fait,Non plutôt pas,Non pas du tout,Pas du tout satisfait
Demande d'informations et d'explications,Appel Entrant,10- Allocations et indemnités/Allocations journalières RC MGEN,3/9/2016,7,55-64 ans,Masculin,1975,Divorcé(e),AQUITAINE,BRETAGNE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,Sections départementales,Conseiller Accueil Développement Services,Téléphone,201612,8,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui plutôt,Très satisfait
Demande de modifications,Accueil physique,21 - Internet/Relevés de prestations en ligne,3/14/2016,0,65 ans et +,Féminin,1968,Marié(e),RHONE-ALPES,AUVERGNE-RHONE-ALPES,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,Centres d'Appels,Téléconseiller Spécialiste,Accueil physique,201612,8,Non,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui plutôt,Plutôt satisfait
Demande de documents,Appel Entrant,10- Allocations et indemnités/Allocations journalières RC MGEN,3/15/2016,0,55-64 ans,Féminin,1981,Divorcé(e),ILE-DE-FRANCE,ILE-DE-FRANCE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,Sections départementales,Conseiller Accueil Développement Services,Téléphone,201612,10,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Réception de documents,Courrier entrant,10- Allocations et indemnités/Allocations journalières RC MGEN,9/3/2015,195,55-64 ans,Féminin,1978,Marié(e),LORRAINE,NORD-PAS-DE-CALAIS-PICARDIE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,Sections départementales,Spécialiste prestations services réseau,Courrier,201612,5,Oui,,Non plutôt pas,Non plutôt pas,Non plutôt pas,Moyennement satisfait
Demande d'informations et d'explications,Email entrant,04- Cotisations/Calcul de la cotisation,3/18/2016,0,65 ans et +,Féminin,1970,Pacsé(e),MIDI-PYRENEES,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,,,Mail,201612,8,Oui,,Oui tout à fait,Oui plutôt,Oui tout à fait,Très satisfait
Réception de documents,Accueil physique,01- Gestion du dossier RO/Mise à jour,3/14/2016,0,18-24 ans,Masculin,2013,Célibataire,NORD-PAS-DE-CALAIS,NORD-PAS-DE-CALAIS-PICARDIE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201612,4,Oui,Oui plutôt,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,06- Santé/Actes médicaux courants,3/16/2016,1,55-64 ans,Féminin,1981,Marié(e),BASSE-NORMANDIE,NORMANDIE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,,,Mail,201612,6,Non,,Non plutôt pas,Non pas du tout,Non plutôt pas,Peu satisfait
Demande de modifications,Courrier entrant,02- Gestion du dossier RC/Mise à jour,3/18/2016,0,55-64 ans,Masculin,1978,Veuf/veuve,NORD-PAS-DE-CALAIS,NORD-PAS-DE-CALAIS-PICARDIE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,Centres de Gestion,Gestionnaire prestations services centre de gestion,Courrier,201612,10,Oui,,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Demande de modifications,Courrier entrant,11- Aides au logement/Assurance emprunteurs (décès),3/15/2016,0,35-44 ans,Masculin,2003,Marié(e),FRANCHE-COMTE,BOURGOGNE-FRANCHE-COMTE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,Sections départementales,Conseiller Accueil Développement Services,Courrier,201612,5,Oui,,Oui plutôt,Oui plutôt,Non plutôt pas,Peu satisfait
Demande d'informations et d'explications,Email entrant,02- Gestion du dossier RC/Droits,3/17/2016,1,45-54 ans,Masculin,1995,Divorcé(e),AQUITAINE,BRETAGNE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,,,Mail,201612,9,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Appel Entrant,"08- Dentaire Optique Audioprothèses/Optique - Montures, verres",3/14/2016,0,35-44 ans,Féminin,2005,Pacsé(e),AUVERGNE,AUVERGNE-RHONE-ALPES,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,,,Téléphone,201612,1,Non,Non plutôt pas,Non pas du tout,Non pas du tout,Non pas du tout,Pas du tout satisfait
Demande d'informations et d'explications,Appel Entrant,06- Santé/Ostéopathie,3/15/2016,0,45-54 ans,Féminin,1994,Marié(e),LANGUEDOC-ROUSSILLON,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,Centres d'Appels,Téléconseiller,Téléphone,201612,8,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Email entrant,02- Gestion du dossier RC/Droits,3/9/2016,5,55-64 ans,Masculin,1979,Concubin(e),RHONE-ALPES,AUVERGNE-RHONE-ALPES,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,,,Mail,201612,4,Non,,Non pas du tout,Oui plutôt,Non plutôt pas,Pas du tout satisfait
Demande d'informations et d'explications,Email entrant,06- Santé/Psychothérapie,3/16/2016,2,35-44 ans,Féminin,2003,Concubin(e),BOURGOGNE,BOURGOGNE-FRANCHE-COMTE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,,,Mail,201612,5,Oui,,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,06- Santé/Ostéopathie,3/16/2016,1,45-54 ans,Féminin,1991,Marié(e),LANGUEDOC-ROUSSILLON,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,,,Mail,201612,7,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Appel Entrant,02- Gestion du dossier RC/Changement d'offre,3/16/2016,0,65 ans et +,Féminin,1970,Marié(e),PROVENCE-ALPES-COTE D'AZUR,PROVENCE-ALPES-COTE D'AZUR,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,Centres d'Appels,Téléconseiller,Téléphone,201612,6,Oui,Oui plutôt,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Réception de documents,Accueil physique,01- Gestion du dossier RO/Mise à jour,3/15/2016,0,65 ans et +,Féminin,1969,Marié(e),LORRAINE,NORD-PAS-DE-CALAIS-PICARDIE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,Sections départementales,Spécialiste prestations services réseau,Accueil physique,201612,7,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Réclamations particuliers,Courrier Reçu,18- Environnement  MGEN/DOMUS,2/29/2016,15,65 ans et +,Féminin,1976,Veuf/veuve,BOURGOGNE,BOURGOGNE-FRANCHE-COMTE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,Centres de Gestion,Spécialiste prestations services centre de gestion,Réclamation,201612,,,,Oui plutôt,Oui plutôt,Non plutôt pas,Peu satisfait
Demande de documents,Email entrant,01- Gestion du dossier RO/Sesam Vitale,3/14/2016,1,65 ans et +,Féminin,1964,Marié(e),CENTRE,CENTRE-VAL DE LOIRE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,,,Mail,201612,5,Non,,Non pas du tout,Non pas du tout,Non pas du tout,Pas du tout satisfait
Demande de documents,Accueil physique,01- Gestion du dossier RO/CEAM,3/15/2016,0,45-54 ans,Féminin,1992,Marié(e),ILE-DE-FRANCE,ILE-DE-FRANCE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,,,Accueil physique,201612,4,Oui,Oui tout à fait,Oui tout à fait,Oui plutôt,Oui plutôt,Très satisfait
Demande d'informations et d'explications,Appel Entrant,01- Gestion du dossier RO/Droits,3/16/2016,0,45-54 ans,Féminin,2003,Célibataire,HAUTE-NORMANDIE,NORMANDIE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,Centres d'Appels,Téléconseiller,Téléphone,201612,10,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Réclamations particuliers,Appel entrant,08- Dentaire Optique Audioprothèses/Dentaire - Soins courants,2/5/2016,39,65 ans et +,Masculin,1962,Marié(e),PROVENCE-ALPES-COTE D'AZUR,PROVENCE-ALPES-COTE D'AZUR,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,Centres de Gestion,Spécialiste prestations services centre de gestion,Réclamation,201612,,,,Oui tout à fait,Oui tout à fait,Oui plutôt,Plutôt satisfait
Réclamations particuliers urgentes,Accueil physique,02- Gestion du dossier RC/ACS,3/9/2016,5,55-64 ans,Féminin,2013,Séparé(e),PROVENCE-ALPES-COTE D'AZUR,PROVENCE-ALPES-COTE D'AZUR,2,MGEN Santé Prévoyance,5,MGEN Santé Prévoyance non Référencée,13,MGEN Référence  Affinité,Centres de Gestion,Gestionnaire prestations services centre de gestion,Réclamation,201612,,,,,,,Peu satisfait
Demande d'informations et d'explications,Accueil physique,04- Cotisations/Echéancier,3/14/2016,0,45-54 ans,Féminin,1997,Marié(e),PROVENCE-ALPES-COTE D'AZUR,PROVENCE-ALPES-COTE D'AZUR,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,,,Accueil physique,201612,8,Oui,Oui plutôt,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Réclamations particuliers,Appel entrant,08- Dentaire Optique Audioprothèses/Optique - Lentilles,2/15/2016,28,35-44 ans,Féminin,1997,Pacsé(e),MIDI-PYRENEES,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,,,Réclamation,201612,,,,Non pas du tout,Oui plutôt,Non plutôt pas,Moyennement satisfait
Demande d'informations et d'explications,Accueil physique,04- Cotisations/Calcul de la cotisation,3/16/2016,0,45-54 ans,Masculin,1997,Pacsé(e),ILE-DE-FRANCE,ILE-DE-FRANCE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201612,8,Oui,Oui tout à fait,Oui tout à fait,Oui plutôt,Oui plutôt,Très satisfait
Réclamations particuliers,Appel entrant,07- Hospitalisation  et soins coûteux/Hospitalisation,2/5/2016,40,65 ans et +,Féminin,2015,Veuf/veuve,ILE-DE-FRANCE,ILE-DE-FRANCE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,13,MGEN Référence  Affinité,Centres de Gestion,Spécialiste prestations services centre de gestion,Réclamation,201612,,,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Appel Entrant,12- Actions sociales/Services d'Aide à Domicile,3/16/2016,0,65 ans et +,Féminin,1970,Marié(e),PROVENCE-ALPES-COTE D'AZUR,PROVENCE-ALPES-COTE D'AZUR,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,14,MGEN Référence,Centres d'Appels,Téléconseiller,Téléphone,201612,8,Oui,Oui plutôt,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Réclamations particuliers,Courrier Reçu,06- Santé/Actes médicaux courants,3/7/2016,8,65 ans et +,Masculin,1977,Marié(e),PROVENCE-ALPES-COTE D'AZUR,PROVENCE-ALPES-COTE D'AZUR,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,Centres de Gestion,Spécialiste prestations services centre de gestion,Réclamation,201612,,,,Non plutôt pas,Oui plutôt,Non plutôt pas,Peu satisfait
Demande d'informations et d'explications,Email entrant,06- Santé/Cures thermales,3/16/2016,2,65 ans et +,Féminin,1969,Divorcé(e),PAYS DE LA LOIRE,PAYS DE LA LOIRE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,,,Mail,201612,8,Oui,,Oui tout à fait,Oui plutôt,Oui plutôt,Plutôt satisfait
Réception de documents,Accueil physique,07- Hospitalisation  et soins coûteux/Hospitalisation,3/14/2016,0,55-64 ans,Féminin,1986,Divorcé(e),AUVERGNE,AUVERGNE-RHONE-ALPES,2,MGEN Santé Prévoyance,5,MGEN Santé Prévoyance non Référencée,12,MGEN Référence,Sections départementales,Spécialiste prestations services réseau,Accueil physique,201612,7,Oui,Oui plutôt,Oui plutôt,Oui plutôt,Non plutôt pas,Moyennement satisfait
Réception de documents,Accueil physique,06- Santé/Cures thermales,3/15/2016,0,65 ans et +,Masculin,1992,Célibataire,POITOU-CHARENTES,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201612,10,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Réception de documents,Accueil physique,06- Santé/Soins à l'étranger,3/17/2016,0,65 ans et +,Féminin,1973,Célibataire,AQUITAINE,BRETAGNE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,,,Accueil physique,201612,8,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Modification MANDAT/IBAN - Offres additionnelles,Courrier entrant,03- Gestion des coordonnées personnes/Domiciliation bancaire,3/16/2016,1,55-64 ans,Masculin,1982,Concubin(e),LA REUNION,LA REUNION,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,12,MGEN Référence,,,Courrier,201612,7,Non,,Non plutôt pas,Oui plutôt,Non plutôt pas,Peu satisfait
Demande d'informations et d'explications,Appel Entrant,13- Prévoyance/Orphelinat,3/14/2016,0,18-24 ans,Masculin,1983,Célibataire,PICARDIE,NORD-PAS-DE-CALAIS-PICARDIE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,33,Offre jeunes,Centres d'Appels,Téléconseiller,Téléphone,201612,8,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Email entrant,06- Santé/Actes médicaux courants,3/14/2016,0,65 ans et +,Féminin,2004,Marié(e),NORD-PAS-DE-CALAIS,NORD-PAS-DE-CALAIS-PICARDIE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,,,Mail,201612,7,Oui,,Oui tout à fait,Oui tout à fait,Oui plutôt,Plutôt satisfait
Demande d'informations et d'explications,Courrier entrant,06- Santé/Actes médicaux courants,3/17/2016,0,65 ans et +,Masculin,1961,Séparé(e),,,1,Offre globale,1,Offre Globale référencée,5,Offre globale,,,Courrier,201612,8,Non,,Non pas du tout,Non pas du tout,Non pas du tout,Pas du tout satisfait
Demande d'informations et d'explications/Migration,Accueil physique,04- Cotisations/Calcul de la cotisation,3/17/2016,0,65 ans et +,Féminin,1972,Marié(e),LORRAINE,NORD-PAS-DE-CALAIS-PICARDIE,2,MGEN Santé Prévoyance,4,MGEN Santé Prévoyance Référencée,15,MGEN Référence,Sections départementales,Conseiller mutualiste,Accueil physique,201612,8,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui plutôt,Très satisfait
